RUN	pokemonapi.PokemonApiTest	pokemonapitest	1720478138000	 	3.11.3
USER	Pokemon API Test	START	1720478138722
USER	Pokemon API Test	START	1720478138723
USER	Pokemon API Test	START	1720478138724
USER	Pokemon API Test	START	1720478138724
USER	Pokemon API Test	START	1720478138724
USER	Pokemon API Test	START	1720478138724
USER	Pokemon API Test	START	1720478138724
USER	Pokemon API Test	START	1720478138724
USER	Pokemon API Test	START	1720478138725
USER	Pokemon API Test	START	1720478138758
REQUEST		Get Pikachu	1720478138745	1720478138858	OK	 
REQUEST		Get Pikachu	1720478138746	1720478138825	OK	 
REQUEST		Get Pikachu	1720478138745	1720478138901	OK	 
REQUEST		Get Pikachu	1720478138745	1720478138891	OK	 
REQUEST		Get Pikachu	1720478138745	1720478138789	OK	 
REQUEST		Get Pikachu	1720478138759	1720478138939	OK	 
REQUEST		Get Pikachu	1720478138757	1720478138866	OK	 
USER	Pokemon API Test	END	1720478139106
USER	Pokemon API Test	END	1720478139107
USER	Pokemon API Test	END	1720478139109
USER	Pokemon API Test	END	1720478139109
USER	Pokemon API Test	END	1720478139110
USER	Pokemon API Test	END	1720478139110
USER	Pokemon API Test	END	1720478139111
REQUEST		Get Pikachu	1720478138746	1720478138851	OK	 
USER	Pokemon API Test	END	1720478139112
REQUEST		Get Pikachu	1720478138745	1720478139169	OK	 
REQUEST		Get Pikachu	1720478138745	1720478139178	OK	 
USER	Pokemon API Test	END	1720478139197
USER	Pokemon API Test	END	1720478139199
USER	Pokemon API Test	START	1720478143708
REQUEST		Get Pikachu	1720478143708	1720478143743	OK	 
USER	Pokemon API Test	END	1720478143752
USER	Pokemon API Test	START	1720478144708
REQUEST		Get Pikachu	1720478144709	1720478144729	OK	 
USER	Pokemon API Test	END	1720478144730
USER	Pokemon API Test	START	1720478145708
REQUEST		Get Pikachu	1720478145708	1720478145740	OK	 
USER	Pokemon API Test	END	1720478145749
USER	Pokemon API Test	START	1720478146707
REQUEST		Get Pikachu	1720478146708	1720478146733	OK	 
USER	Pokemon API Test	END	1720478146738
USER	Pokemon API Test	START	1720478147707
REQUEST		Get Pikachu	1720478147707	1720478147736	OK	 
USER	Pokemon API Test	END	1720478147742
USER	Pokemon API Test	START	1720478148707
REQUEST		Get Pikachu	1720478148708	1720478148730	OK	 
USER	Pokemon API Test	END	1720478148735
USER	Pokemon API Test	START	1720478149708
REQUEST		Get Pikachu	1720478149708	1720478149726	OK	 
USER	Pokemon API Test	END	1720478149729
USER	Pokemon API Test	START	1720478150707
REQUEST		Get Pikachu	1720478150708	1720478150730	OK	 
USER	Pokemon API Test	END	1720478150737
USER	Pokemon API Test	START	1720478151707
REQUEST		Get Pikachu	1720478151708	1720478151741	OK	 
USER	Pokemon API Test	END	1720478151748
USER	Pokemon API Test	START	1720478152708
REQUEST		Get Pikachu	1720478152708	1720478152732	OK	 
USER	Pokemon API Test	END	1720478152740
USER	Pokemon API Test	START	1720478153707
REQUEST		Get Pikachu	1720478153708	1720478153737	OK	 
USER	Pokemon API Test	END	1720478153741
USER	Pokemon API Test	START	1720478153756
REQUEST		Get Pikachu	1720478153757	1720478153775	OK	 
USER	Pokemon API Test	END	1720478153778
USER	Pokemon API Test	START	1720478153806
REQUEST		Get Pikachu	1720478153807	1720478153830	OK	 
USER	Pokemon API Test	END	1720478153836
USER	Pokemon API Test	START	1720478153856
